Image,Crack,Efflorescence,Spalling,Undamaged,True Label
001_0fwtaowy.t1o.jpg,1.0,4.4775666751385134e-17,6.505746075355604e-25,8.435346807233725e-36,0
001_avlr5wdk.yoi.jpg,4.45723376901781e-50,5.34436439386231e-82,1.0,0.0,0
001_cdl1dg2t.4w0.jpg,0.07878738209619687,1.3616753616183828e-11,0.9212126178622216,2.7964812586966686e-11,0
001_kwmsqgk2.yfv.jpg,1.0,3.6425646565535247e-63,6.501070924173249e-48,0.0,0
001_s5g23evx.mzu.jpg,1.0,3.32697578421371e-30,2.152253519522341e-40,3.179682400953968e-46,0
002_ef5csbwj.r10.jpg,0.9954823789528059,0.004517621047194058,3.6187317860969424e-32,2.801263352114552e-25,0
002_v3h0t5sm.lqi.jpg,7.116348487705686e-13,0.9999999999992883,1.2056791493462182e-22,4.9368118813977544e-23,0
005_j3jkrxyt.i2n.jpg,1.0,9.028489456170726e-88,2.0993398614566258e-88,0.0,0
006_kdbh5mv1.2db.jpg,7.886910546888193e-10,0.20766170534495543,2.3942026566582824e-18,0.7923382938663535,0
009_an1rjwgl.3uu.jpg,2.036279300663589e-10,0.025192862704060858,9.067225260254401e-12,0.974807137083244,0
012_asfuvbod.oa3.jpg,1.0,2.112963034260101e-21,4.614223582852861e-37,1.3691329939813794e-34,0
012_b4d135xg.lwj.jpg,8.459082822610645e-36,1.0,1.7590906552856695e-41,1.0679320865236082e-49,0
014_yzkaimlb.g0w.jpg,1.0,0.0,0.0,0.0,0
017_t11t3li5.4hl.jpg,1.0,0.0,0.0,0.0,0
017_w1hvfhw4.zkq.jpg,1.0,0.0,0.0,0.0,0
020_qktrfhtp.41z.jpg,0.9999910608760896,8.939123910492385e-06,2.4318408650663006e-18,1.650277962741611e-24,0
025_oekleedw.k0u.jpg,1.0,3.5537767209038676e-58,1.0457478238486687e-68,9.95875953623633e-67,0
048_12c1c1ht.aw5.jpg,1.0,0.0,0.0,0.0,0
068_5p0lfjeg.znj.jpg,0.039175283636298346,0.9608247163637017,6.937964576964389e-18,1.0577973005472485e-26,0
078_il0dby2o.vls.jpg,1.0,5.365580469153194e-47,8.873039879635125e-53,2.771431563625809e-51,0
113_2grzu0wr.eui.jpg,1.0,0.0,0.0,0.0,0
113_5qli1feo.1sg.jpg,0.9999999999999947,1.8361692513771734e-16,4.744970041095484e-20,5.1085070357487375e-15,0
113_oinxojp4.40l.jpg,1.0,5.922331226415691e-50,4.932289691343588e-63,0.0,0
113_ow1sj124.gur.jpg,1.0,9.235674016300548e-64,7.404571317090024e-72,0.0,0
169_dsnzqlzj.p53.jpg,1.0,4.0122445411296887e-69,2.6637675603120044e-78,0.0,0
189_2gjyn4p2.aix.jpg,1.0,1.9061034665462136e-18,1.1989287968924908e-36,4.826119616501265e-32,0
189_w0raeiwe.h13.jpg,1.0,6.540358261977346e-43,1.2071721866324467e-53,2.609439024462003e-51,0
191_1nl0xa4a.5ea.jpg,0.9999999999987671,1.2328757517527534e-12,6.051352251819654e-36,9.075201848748868e-42,0
