2026-03-20 01:53:34 | __main__ | INFO | Run directory: results\training\resnet50\2026-03-20_01-53
2026-03-20 01:53:34 | __main__ | INFO | Model:         resnet50
2026-03-20 01:53:34 | __main__ | INFO | Config:        configs/train_config.yaml
2026-03-20 01:53:34 | __main__ | INFO | Device: cuda
2026-03-20 01:53:34 | __main__ | INFO | GPU: NVIDIA GeForce GTX 1660 SUPER
2026-03-20 01:53:34 | __main__ | INFO | Loading datasets...
2026-03-20 01:53:34 | __main__ | INFO | Loading model: resnet50
2026-03-20 01:53:34 | __main__ | INFO | Total parameters:     23,516,228
2026-03-20 01:53:34 | __main__ | INFO | Trainable parameters: 8,196 (0.0%)
2026-03-20 01:53:34 | __main__ | INFO | Starting training...
2026-03-20 02:00:16 | __main__ | INFO | Saving training curves...
2026-03-20 02:00:16 | __main__ | INFO | Evaluating on test set...
2026-03-20 02:00:21 | __main__ | INFO | Computing test set metrics...
2026-03-20 02:00:22 | __main__ | INFO | Saving confusion matrix...
2026-03-20 02:00:22 | __main__ | INFO | ============================================================
2026-03-20 02:00:22 | __main__ | INFO | TRAINING COMPLETE
2026-03-20 02:00:22 | __main__ | INFO |   Model:      resnet50
2026-03-20 02:00:22 | __main__ | INFO |   Accuracy:   0.8567
2026-03-20 02:00:22 | __main__ | INFO |   F1 Score:   0.8560
2026-03-20 02:00:22 | __main__ | INFO |   F2 Score:   0.8565
2026-03-20 02:00:22 | __main__ | INFO |   Run folder: results\training\resnet50\2026-03-20_01-53
2026-03-20 02:00:22 | __main__ | INFO | ============================================================
